user_id,sku_id,time,type,cate,brand
200017,2143,2016-03-13 14:13:00,4,5,570
200017,138037,2016-03-13 14:13:00,4,4,375
200017,126535,2016-03-13 14:13:00,4,8,545
200017,2148,2016-03-13 14:13:00,4,6,165
200033,44705,2016-02-02 15:52:00,4,5,306
200033,44854,2016-04-06 01:28:00,4,8,30
200053,124286,2016-03-06 16:02:00,4,7,741
200053,32465,2016-03-06 18:22:00,4,8,489
200053,92555,2016-04-11 22:37:00,4,5,306
200053,135272,2016-04-13 20:16:00,4,4,519
200077,170311,2016-03-15 11:05:00,4,4,306
200077,129313,2016-03-15 11:05:00,4,4,306
200077,19950,2016-03-15 11:09:00,4,5,306
200077,84544,2016-03-15 11:09:00,4,6,306
200077,88295,2016-03-15 11:48:00,4,8,489
200077,88295,2016-03-15 11:49:00,4,8,489
200077,88295,2016-03-15 11:53:00,4,8,489
200077,147796,2016-03-15 12:27:00,4,8,489
200077,148209,2016-03-15 12:31:00,4,9,427
200077,170311,2016-03-26 14:32:00,4,4,306
200106,12609,2016-03-10 15:30:00,4,5,306
200106,164252,2016-03-10 19:41:00,4,8,800
200146,76996,2016-02-26 22:28:00,4,7,489
200146,76301,2016-02-26 22:28:00,4,5,232
200146,21147,2016-02-26 22:28:00,4,8,403
200213,37546,2016-02-01 11:08:00,4,6,489
200213,78508,2016-02-01 14:38:00,4,4,885
200213,98634,2016-02-03 08:41:00,4,4,581
200213,77109,2016-02-13 17:10:00,4,4,174
200213,117882,2016-02-14 14:18:00,4,4,519
200213,108328,2016-02-18 10:29:00,4,5,800
200213,168573,2016-02-18 17:06:00,4,5,124
200213,143343,2016-03-05 16:59:00,4,5,479
200213,78508,2016-03-07 00:17:00,4,4,885
200213,143343,2016-03-07 00:19:00,4,5,479
200213,77745,2016-03-09 11:41:00,4,6,269
200213,151484,2016-03-11 11:07:00,4,7,489
200213,77745,2016-03-11 16:03:00,4,6,269
200213,83325,2016-03-14 10:01:00,4,4,453
200213,37441,2016-03-14 19:40:00,4,6,78
200213,98634,2016-03-16 11:21:00,4,4,581
200213,63231,2016-03-20 15:23:00,4,4,174
200213,68615,2016-03-28 11:58:00,4,8,403
200213,98634,2016-03-29 09:15:00,4,4,581
200213,157595,2016-04-02 12:31:00,4,4,581
200213,9159,2016-04-02 12:32:00,4,6,800
200213,131895,2016-04-02 15:05:00,4,7,489
200213,160600,2016-04-04 09:57:00,4,5,124
200213,126791,2016-04-07 09:04:00,4,5,479
200213,100662,2016-04-08 16:03:00,4,6,261
200213,49758,2016-04-09 17:11:00,4,5,479
200238,45656,2016-02-17 15:51:00,4,9,640
200238,15259,2016-02-25 21:42:00,4,8,545
200238,72967,2016-03-08 19:24:00,4,4,519
200258,116420,2016-02-09 19:34:00,4,4,174
200258,112316,2016-02-10 15:20:00,4,5,174
200258,64160,2016-02-10 15:20:00,4,6,232
200258,19246,2016-02-10 15:20:00,4,5,375
200258,50239,2016-02-10 15:20:00,4,5,235
200258,4732,2016-02-10 15:20:00,4,6,375
200258,154748,2016-02-10 15:20:00,4,5,58
200258,7434,2016-02-13 23:21:00,4,4,306
200258,70839,2016-02-22 08:33:00,4,8,545
200258,75043,2016-02-29 20:10:00,4,9,427
200289,111391,2016-02-11 23:27:00,4,5,800
200289,154495,2016-02-11 23:27:00,4,6,800
200289,102488,2016-02-11 23:27:00,4,4,658
200289,69209,2016-02-14 23:52:00,4,8,800
200295,72967,2016-03-02 10:55:00,4,4,519
200295,89802,2016-03-02 10:55:00,4,8,545
200295,153395,2016-03-02 10:55:00,4,8,545
200295,166354,2016-03-02 10:55:00,4,8,545
200325,35464,2016-02-02 14:28:00,4,5,489
200325,33726,2016-02-02 14:40:00,4,6,693
200325,31662,2016-02-02 15:57:00,4,8,545
200325,35464,2016-02-04 19:42:00,4,5,489
200339,84389,2016-04-07 06:51:00,4,8,489
200339,8585,2016-04-10 17:08:00,4,6,570
200383,135272,2016-02-24 13:44:00,4,4,519
200383,103114,2016-02-24 14:59:00,4,6,78
200383,145303,2016-02-26 16:35:00,4,5,306
200383,37957,2016-03-01 07:37:00,4,8,489
200391,20739,2016-02-22 22:43:00,4,7,693
200391,51210,2016-02-22 22:43:00,4,9,597
200391,142477,2016-02-23 08:44:00,4,8,693
200417,20719,2016-03-04 13:53:00,4,4,519
200417,12564,2016-03-04 14:59:00,4,8,214
200422,70491,2016-02-15 16:06:00,4,6,306
200422,63006,2016-02-18 10:59:00,4,8,214
200425,25566,2016-04-04 22:34:00,4,6,124
200425,32465,2016-04-04 22:34:00,4,8,489
200616,163680,2016-03-22 00:38:00,4,4,306
200616,68767,2016-03-22 14:54:00,4,8,545
200626,108858,2016-03-29 10:47:00,4,8,30
200626,140029,2016-04-01 00:03:00,4,4,375
200632,74630,2016-02-02 22:17:00,4,7,489
200632,96959,2016-02-02 22:17:00,4,9,489
200632,164258,2016-02-15 14:04:00,4,8,214
200632,67589,2016-02-15 14:04:00,4,5,800
200632,128286,2016-03-10 22:53:00,4,6,174
200632,59259,2016-03-15 09:46:00,4,4,658
200632,59259,2016-04-01 19:37:00,4,4,658
200632,27582,2016-04-05 20:58:00,4,4,885
200663,78035,2016-02-28 13:11:00,4,4,678
200663,138151,2016-02-28 13:13:00,4,8,30
200663,98099,2016-03-19 08:07:00,4,4,678
200663,149442,2016-03-19 08:22:00,4,5,570
200719,2100,2016-02-01 10:00:00,4,4,800
200719,90646,2016-02-01 12:31:00,4,6,489
200719,123773,2016-02-01 19:12:00,4,8,693
200719,103594,2016-02-01 23:52:00,4,4,800
200719,125188,2016-02-02 10:14:00,4,5,479
200740,164532,2016-03-07 20:17:00,4,5,124
200740,12564,2016-03-18 12:37:00,4,8,214
200745,13110,2016-03-11 20:08:00,4,5,225
200745,146523,2016-03-11 20:08:00,4,8,489
200745,6424,2016-03-17 21:17:00,4,4,800
200745,155792,2016-03-17 21:17:00,4,4,453
200764,63006,2016-03-09 12:30:00,4,8,214
200764,53371,2016-03-09 13:42:00,4,9,640
200813,138037,2016-02-01 19:10:00,4,4,375
200813,138853,2016-03-19 12:47:00,4,8,403
200833,129010,2016-02-01 20:05:00,4,8,545
200833,153395,2016-02-01 20:05:00,4,8,545
200833,9159,2016-02-06 00:42:00,4,6,800
200845,7418,2016-03-05 09:53:00,4,7,306
200845,75043,2016-03-05 10:13:00,4,9,427
200845,56797,2016-03-05 10:41:00,4,5,489
200845,69209,2016-03-16 08:16:00,4,8,800
200855,2148,2016-03-08 16:23:00,4,6,165
200855,14577,2016-03-08 16:23:00,4,8,677
200855,157850,2016-03-08 16:23:00,4,7,118
200884,80499,2016-02-12 21:53:00,4,4,752
200884,31662,2016-02-13 14:23:00,4,8,545
